기준_년월_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,엑스좌표_값,와이좌표_값,시군구_코드
202112,A,골목상권,2110753,191934,438813,11545
202112,A,골목상권,2110427,206265,459431,11350
202112,A,골목상권,2110755,192300,439070,11545
202112,A,골목상권,2110739,191289,438014,11545
202112,A,골목상권,2111017,210222,445516,11710
202112,A,골목상권,2110249,207203,456106,11260
202112,A,골목상권,2110963,203260,443659,11680
202112,A,골목상권,2110332,205155,457004,11290
202112,A,골목상권,2110245,206928,455306,11260
202112,A,골목상권,2110719,190510,443238,11530
202112,A,골목상권,2110932,202065,442758,11650
202112,A,골목상권,2110933,202091,443006,11650
202112,A,골목상권,2110868,193242,442825,11620
202112,A,골목상권,2110395,203210,462708,11320
202112,A,골목상권,2110393,202918,462499,11320
202112,A,골목상권,2110114,202802,451995,11200
202112,A,골목상권,2110760,190474,448534,11560
202112,A,골목상권,2111068,211971,448499,11740
202112,A,골목상권,2110619,188177,448004,11470
202112,A,골목상권,2110093,200013,448122,11170
202112,A,골목상권,2110734,191061,439380,11545
202112,A,골목상권,2111030,211453,445218,11710
202112,A,골목상권,2110573,194606,450433,11440
202112,A,골목상권,2110053,201114,451386,11140
202112,A,골목상권,2110972,203786,443905,11680
202112,A,골목상권,2110911,199109,441478,11650
202112,A,골목상권,2110969,203564,444385,11680
202112,A,골목상권,2111002,210597,441133,11680
202112,A,골목상권,2110863,192781,441883,11620
202112,A,골목상권,2110751,191810,442086,11545
202112,A,골목상권,2110993,205157,442012,11680
202112,A,골목상권,2110725,190317,442049,11545
202112,A,골목상권,2110723,189718,442660,11545
202112,A,골목상권,2110938,203210,441747,11650
202112,A,골목상권,2110999,209174,441371,11680
202112,A,골목상권,2110941,203704,441599,11650
202112,A,골목상권,2110087,199460,447962,11170
202112,A,골목상권,2110094,200103,447302,11170
202112,A,골목상권,2110262,207894,454997,11260
202112,A,골목상권,2110279,209665,456979,11260
202112,A,골목상권,2110107,202135,449773,11200
202112,A,골목상권,2110576,195013,449632,11440
202112,A,골목상권,2111010,209002,445150,11710
202112,A,골목상권,2110098,200916,448556,11170
202112,A,골목상권,2110669,187145,450421,11500
202112,A,골목상권,2111081,212933,448427,11740
202112,A,골목상권,2110331,205055,456506,11290
202112,A,골목상권,2110786,191589,448287,11560
202112,A,골목상권,2110956,202759,445039,11680
202112,A,골목상권,2111003,207258,444942,11710
202112,A,골목상권,2110565,193645,450375,11440
202112,A,골목상권,2110149,206732,450331,11215
202112,A,골목상권,2110110,202480,451599,11200
202112,A,골목상권,2110539,197077,451538,11410
202112,A,골목상권,2110505,193349,452680,11410
202112,A,골목상권,2110055,201637,452263,11140
202112,A,골목상권,2110122,203876,452025,11200
202112,A,골목상권,2111065,211856,449198,11740
202112,A,골목상권,2110305,201963,453846,11290
202112,A,골목상권,2110499,192793,453609,11410
202112,A,골목상권,2110150,206769,451337,11215
202112,A,골목상권,2110236,206619,456601,11260
202112,A,골목상권,2111023,210877,443156,11710
202112,A,골목상권,2110925,200588,443043,11650
