기준_년_코드,기준_분기_코드,상권_코드,분기당_매출_금액,분기당_매출_건수
2021,4,2110001,727942726,30226
2021,4,2110001,125439204,13211
2021,4,2110001,10452437,380
2021,4,2110001,22035757,2139
2021,4,2110001,78609957,208
2021,4,2110001,17551795,1084
2021,4,2110001,187647502,1225
2021,4,2110001,72601507,1557
2021,4,2110001,15620952,454
2021,4,2110001,343204524,47021
2021,4,2110001,74182690,489
2021,4,2110001,27865529,1252
2021,4,2110002,596696795,22490
2021,4,2110002,439870230,43901
2021,4,2110002,156540023,4225
2021,4,2110002,83482155,3437
2021,4,2110002,106532182,15372
2021,4,2110002,244303884,702
2021,4,2110002,129716081,349
2021,4,2110002,12853101,72
2021,4,2110002,102204414,1094
2021,4,2110002,2714286,9
2021,4,2110002,109853330,24327
2021,4,2110002,400767733,1733
2021,4,2110002,24276559,889
2021,4,2110002,6306980,112
2021,4,2110002,106781362,7049
2021,4,2110002,2014642862,342886
2021,4,2110002,284633562,23033
2021,4,2110002,3710340024,115742
2021,4,2110002,192111295,791
2021,4,2110002,484887335,1458
2021,4,2110003,189028699,6614
2021,4,2110003,134933120,15322
2021,4,2110003,46940827,3960
2021,4,2110003,189066156,4559
2021,4,2110003,31628808,2739
2021,4,2110003,20758030,94
2021,4,2110003,13055615,67
2021,4,2110003,80134444,398
2021,4,2110003,95964654,465
2021,4,2110003,143450281,17104
2021,4,2110003,12972001,163
2021,4,2110003,30910805,5828
2021,4,2110003,107017320,1255
2021,4,2110003,10325657,403
2021,4,2110003,407770331,57860
2021,4,2110003,7762769,254
2021,4,2110003,162670745,4063
2021,4,2110003,213170864,913
2021,4,2110003,699131442,3814
2021,4,2110004,509103472,12311
2021,4,2110004,882168,288
2021,4,2110004,68997546,4516
2021,4,2110004,18453451,893
2021,4,2110004,22464565,2948
2021,4,2110005,573437756,14947
2021,4,2110005,55611263,5504
2021,4,2110005,56810231,1164
2021,4,2110005,28760362,1142
2021,4,2110005,73377086,5980
2021,4,2110005,22796303,430
2021,4,2110005,613929581,2040
2021,4,2110005,15105080,28
2021,4,2110005,31672063,1960
2021,4,2110005,33333333,88
2021,4,2110005,20601601,339
2021,4,2110005,26293645,1128
2021,4,2110005,46536478,227
2021,4,2110005,26111377,2624
2021,4,2110005,571120915,83473
2021,4,2110005,8871744,1064
2021,4,2110005,120200449,672
2021,4,2110006,90709543,2784
2021,4,2110006,373760430,21778
2021,4,2110006,61814728,2439
2021,4,2110006,22532589,65
2021,4,2110006,125106870,16780
2021,4,2110007,39000000,610
2021,4,2110007,24917661,2851
2021,4,2110007,376771697,1704
2021,4,2110007,28357909,1341
2021,4,2110007,107594745,17917
2021,4,2110008,994513894,31247
2021,4,2110008,95513114,7175
2021,4,2110008,961197551,10514
2021,4,2110008,539218915,37582
2021,4,2110008,63187082,2730
2021,4,2110008,134037031,10929
2021,4,2110008,2374148996,173039
2021,4,2110008,205394252,1435
2021,4,2110008,50515808,2161
2021,4,2110008,42416974,2895
2021,4,2110008,26560479,480
2021,4,2110008,2330322394,66085
2021,4,2110008,756397739,111959
2021,4,2110008,63693436,812
2021,4,2110008,30170542,2514
2021,4,2110008,54526811,992
2021,4,2110008,46920133,1339
2021,4,2110008,154685563,2169
2021,4,2110008,40456429,2029
2021,4,2110008,168013887,13004
2021,4,2110008,4951832,800
2021,4,2110008,7041258,107
2021,4,2110009,476763544,7321
2021,4,2110009,461047410,8004
2021,4,2110009,453170257,12323
2021,4,2110009,32477259,2440
2021,4,2110009,2253629,124
