기준_년_코드,기준_분기_코드,상권_코드,월_평균_소득_금액,지출_총금액
2021,4,2110001,4305934.0,520427635.0
2021,4,2110002,3463885.0,232465205.0
2021,4,2110003,3548020.0,1349699230.0
2021,4,2110004,2644953.0,712772785.0
2021,4,2110005,3703145.0,884701599.0
2021,4,2110006,3963935.0,267177363.0
2021,4,2110007,2783752.0,1357989746.0
2021,4,2110008,3422580.0,2746062777.0
2021,4,2110009,3734312.0,982492942.0
2021,4,2110010,4661066.0,2243586695.0
2021,4,2110011,4350843.0,284960476.0
2021,4,2110012,5415706.0,1224738411.0
2021,4,2110013,3698509.0,190109278.0
2021,4,2110014,5290159.0,246628270.0
2021,4,2110015,3980058.0,340654450.0
2021,4,2110016,4907057.0,1635958594.0
2021,4,2110017,3986047.0,488287266.0
2021,4,2110018,3435639.0,1569319603.0
2021,4,2110019,2496875.0,266124846.0
2021,4,2110020,2763377.0,1893277180.0
2021,4,2110021,2901248.0,1062083531.0
2021,4,2110022,3500952.0,879563907.0
2021,4,2110023,3435358.0,430124011.0
2021,4,2110024,3655720.0,526235130.0
2021,4,2110025,2770370.0,232818153.0
2021,4,2110026,2729503.0,76260454.0
2021,4,2110027,2829725.0,1443674534.0
2021,4,2110028,2452034.0,2099016363.0
2021,4,2110029,2118290.0,2352986552.0
2021,4,2110030,2095332.0,202754119.0
2021,4,2110031,2244368.0,173868489.0
2021,4,2110032,1616161.0,37011348.0
2021,4,2110033,2177870.0,771111000.0
2021,4,2110034,960234.0,212483540.0
2021,4,2110035,2249772.0,1867544638.0
2021,4,2110036,2523571.0,173906013.0
2021,4,2110037,2191167.0,969598430.0
2021,4,2110038,4672774.0,120364348.0
2021,4,2110039,1988593.0,57559772.0
2021,4,2110040,2602532.0,1230137661.0
2021,4,2110041,2435163.0,597007525.0
2021,4,2110042,3048144.0,1228216215.0
2021,4,2110043,2719005.0,1564568535.0
2021,4,2110044,2811896.0,178946367.0
2021,4,2110045,2461119.0,354161658.0
2021,4,2110046,2432975.0,2189269535.0
2021,4,2110047,2759072.0,1195911920.0
2021,4,2110048,2987643.0,1413011253.0
2021,4,2110049,2908231.0,1079848128.0
2021,4,2110050,2711843.0,793450199.0
2021,4,2110051,2461144.0,667566496.0
2021,4,2110052,2391211.0,797341566.0
2021,4,2110053,2240230.0,975466676.0
2021,4,2110054,3180319.0,2007417767.0
2021,4,2110055,2774287.0,183778794.0
2021,4,2110056,2363531.0,2345870071.0
2021,4,2110057,3108300.0,995897832.0
2021,4,2110058,2876348.0,2194575007.0
2021,4,2110059,3266131.0,1460700558.0
2021,4,2110060,2814872.0,1779795689.0
2021,4,2110061,2978107.0,2000862980.0
2021,4,2110062,2751618.0,776318976.0
2021,4,2110063,3009124.0,1162886145.0
2021,4,2110064,3212496.0,1617004489.0
2021,4,2110065,2695366.0,115479057.0
2021,4,2110066,2445166.0,1451433018.0
2021,4,2110067,2690898.0,4042325194.0
2021,4,2110068,3421319.0,1394945162.0
2021,4,2110069,2598804.0,2091408330.0
