기준 년코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,총_생활인구_수,남성_생활인구_수,여성_생활인구_수
2021,4,U,관광특구,1001496,102294,51045,51249
2021,4,U,관광특구,1001495,3371333,1642782,1728551
2021,4,U,관광특구,1001494,3868466,2102996,1765468
2021,4,U,관광특구,1001493,3218311,1544837,1673475
2021,4,U,관광특구,1001492,3954704,2007791,1946913
2021,4,U,관광특구,1001491,1905510,948480,957032
2021,4,R,전통시장,2130326,159978,73096,86882
2021,4,R,전통시장,2130325,219852,97364,122488
2021,4,R,전통시장,2130324,508307,231976,276329
2021,4,R,전통시장,2130323,352941,175201,177739
2021,4,R,전통시장,2130322,266287,131379,134906
2021,4,R,전통시장,2130321,158541,73740,84802
2021,4,R,전통시장,2130320,119166,56483,62684
2021,4,R,전통시장,2130319,783844,377859,405986
2021,4,R,전통시장,2130318,375808,175922,199885
2021,4,R,전통시장,2130317,511534,242699,268835
2021,4,R,전통시장,2130316,46538,22128,24410
2021,4,R,전통시장,2130315,585240,284322,300919
2021,4,R,전통시장,2130314,1333377,604156,729221
2021,4,R,전통시장,2130313,833686,383446,450240
2021,4,R,전통시장,2130312,316031,149214,166816
2021,4,R,전통시장,2130311,800120,384712,415407
2021,4,R,전통시장,2130310,205167,93745,111422
2021,4,R,전통시장,2130309,33881,15896,17985
2021,4,R,전통시장,2130308,10253,5239,5013
2021,4,R,전통시장,2130307,196673,88978,107695
2021,4,R,전통시장,2130306,139507,70097,69409
2021,4,R,전통시장,2130305,33952,17534,16418
2021,4,R,전통시장,2130304,19715,8278,11437
2021,4,R,전통시장,2130303,385516,194177,191341
2021,4,R,전통시장,2130302,49648,24620,25028
2021,4,R,전통시장,2130301,64179,32355,31825
2021,4,R,전통시장,2130300,47425,19891,27534
2021,4,R,전통시장,2130299,40173,17031,23142
2021,4,R,전통시장,2130298,58828,24995,33832
2021,4,R,전통시장,2130297,76712,33504,43208
2021,4,R,전통시장,2130296,44379,20705,23674
2021,4,R,전통시장,2130295,270182,124865,145317
2021,4,R,전통시장,2130294,283599,132206,151392
2021,4,R,전통시장,2130293,60267,28593,31673
2021,4,R,전통시장,2130292,79120,36840,42282
2021,4,R,전통시장,2130291,20278,9594,10686
2021,4,R,전통시장,2130290,591916,276619,315299
2021,4,R,전통시장,2130289,59547,28471,31077
2021,4,R,전통시장,2130288,13907,7114,6794
2021,4,R,전통시장,2130287,264547,139829,124718
2021,4,R,전통시장,2130286,53992,28628,25363
2021,4,R,전통시장,2130285,928870,471747,457123
2021,4,R,전통시장,2130284,73926,36896,37030
2021,4,R,전통시장,2130283,990169,496086,494083
2021,4,R,전통시장,2130282,147147,69440,77708
2021,4,R,전통시장,2130281,64711,30813,33899
2021,4,R,전통시장,2130280,26962,12649,14311
2021,4,R,전통시장,2130279,416428,196179,220249
2021,4,R,전통시장,2130278,322227,148828,173398
2021,4,R,전통시장,2130277,245718,118644,127073
2021,4,R,전통시장,2130276,85565,41575,43990
2021,4,R,전통시장,2130275,192909,103584,89325
2021,4,R,전통시장,2130274,408149,205137,203011
2021,4,R,전통시장,2130273,834517,377212,457306
2021,4,R,전통시장,2130272,44287,20660,23627
2021,4,R,전통시장,2130271,357057,164316,192740
2021,4,R,전통시장,2130270,106144,48926,57219
2021,4,R,전통시장,2130269,40896,19301,21595
2021,4,R,전통시장,2130268,361640,166110,195530
2021,4,R,전통시장,2130267,66361,32310,34051
2021,4,R,전통시장,2130266,88487,50789,37698
2021,4,R,전통시장,2130265,76396,44317,32079
2021,4,R,전통시장,2130264,443721,195858,247863
2021,4,R,전통시장,2130263,21173,9926,11246
2021,4,R,전통시장,2130262,304910,140754,164155
2021,4,R,전통시장,2130261,342111,150827,191285
2021,4,R,전통시장,2130260,96008,44588,51421
2021,4,R,전통시장,2130259,130497,60353,70144
2021,4,R,전통시장,2130258,28549,12726,15823
2021,4,R,전통시장,2130257,185350,101509,83841
2021,4,R,전통시장,2130256,27613,12692,14922
2021,4,R,전통시장,2130255,333381,179327,154055
2021,4,R,전통시장,2130254,22187,11803,10384
2021,4,R,전통시장,2130253,24571,13147,11425
2021,4,R,전통시장,2130252,48751,24493,24257
2021,4,R,전통시장,2130251,38103,20749,17354
2021,4,R,전통시장,2130250,24571,13147,11425
2021,4,R,전통시장,2130249,26279,13828,12453
2021,4,R,전통시장,2130248,27673,13886,13787
2021,4,R,전통시장,2130247,341839,159424,182414
2021,4,R,전통시장,2130246,872642,422182,450460
2021,4,R,전통시장,2130245,176329,80721,95609
2021,4,R,전통시장,2130244,476587,238714,237873
2021,4,R,전통시장,2130243,24682,12146,12538
2021,4,R,전통시장,2130242,348875,175980,172895
2021,4,R,전통시장,2130241,311621,156745,154876
2021,4,R,전통시장,2130240,28055,14329,13725
2021,4,R,전통시장,2130239,22357,11380,10975
2021,4,R,전통시장,2130238,354336,163195,191140
2021,4,R,전통시장,2130237,12355,6894,5461
2021,4,R,전통시장,2130236,518739,239265,279474
2021,4,R,전통시장,2130235,167370,81107,86262
2021,4,R,전통시장,2130234,85885,42540,43344
2021,4,R,전통시장,2130233,123203,59678,63525
2021,4,R,전통시장,2130232,136442,67139,69302
2021,4,R,전통시장,2130231,142321,74409,67912
2021,4,R,전통시장,2130230,61858,36329,25529
2021,4,R,전통시장,2130229,662489,322386,340102
2021,4,R,전통시장,2130228,158132,81236,76897
2021,4,R,전통시장,2130227,117494,54816,62677
2021,4,R,전통시장,2130226,31863,14714,17149
2021,4,R,전통시장,2130225,488353,223440,264912
2021,4,R,전통시장,2130224,4679,2274,2405
2021,4,R,전통시장,2130223,96908,46226,50681
2021,4,R,전통시장,2130222,43558,21245,22313
2021,4,R,전통시장,2130221,669556,300477,369079
2021,4,R,전통시장,2130220,35043,16051,18992
2021,4,R,전통시장,2130219,1366888,633229,733661
2021,4,R,전통시장,2130218,59803,27224,32579
2021,4,R,전통시장,2130217,130873,60768,70106
2021,4,R,전통시장,2130216,267515,117697,149818
2021,4,R,전통시장,2130215,60381,27779,32604
2021,4,R,전통시장,2130214,68431,30272,38161
2021,4,R,전통시장,2130213,122608,59352,63258
2021,4,R,전통시장,2130212,196233,100268,95965
2021,4,R,전통시장,2130211,293793,138265,155528
2021,4,R,전통시장,2130210,284276,131043,153233
2021,4,R,전통시장,2130209,308836,150433,158403
2021,4,R,전통시장,2130208,356682,156519,200163
2021,4,R,전통시장,2130207,24707,11698,13010
2021,4,R,전통시장,2130206,47116,21971,25145
2021,4,R,전통시장,2130205,35176,16071,19105
2021,4,R,전통시장,2130204,178430,84389,94042
2021,4,R,전통시장,2130203,82208,37552,44657
2021,4,R,전통시장,2130202,230150,102772,127380
2021,4,R,전통시장,2130201,173915,80397,93520
2021,4,R,전통시장,2130200,64874,30588,34288
2021,4,R,전통시장,2130199,454567,222719,231847
2021,4,R,전통시장,2130198,254973,113408,141566
2021,4,R,전통시장,2130197,48919,23444,25475
2021,4,R,전통시장,2130196,32524,15586,16940
2021,4,R,전통시장,2130195,912982,427437,485545
2021,4,R,전통시장,2130194,594234,284382,309854
2021,4,R,전통시장,2130193,29466,13587,15878
2021,4,R,전통시장,2130192,48977,21389,27589
2021,4,R,전통시장,2130191,526097,231582,294515
2021,4,R,전통시장,2130190,471512,217798,253714
2021,4,R,전통시장,2130189,87470,40157,47314
2021,4,R,전통시장,2130188,67327,30469,36859
2021,4,R,전통시장,2130187,44244,19763,24480
