기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권 코드,총 상주인구 수,남성 상주인구 수,여성 상주인구 수
2021,4,U,관광특구,1001496,29,16,13
2021,4,U,관광특구,1001495,9639,4250,5389
2021,4,U,관광특구,1001494,1977,1303,674
2021,4,U,관광특구,1001493,2703,1294,1409
2021,4,U,관광특구,1001492,1089,403,686
2021,4,U,관광특구,1001491,5174,2451,2723
2021,4,R,전통시장,2130326,1281,639,642
2021,4,R,전통시장,2130325,1895,942,953
2021,4,R,전통시장,2130324,1129,555,574
2021,4,R,전통시장,2130323,1515,782,733
2021,4,R,전통시장,2130322,1121,581,540
2021,4,R,전통시장,2130321,1443,722,721
2021,4,R,전통시장,2130320,989,508,481
2021,4,R,전통시장,2130319,1276,657,619
2021,4,R,전통시장,2130318,773,343,430
2021,4,R,전통시장,2130317,1055,561,494
2021,4,R,전통시장,2130316,97,50,47
2021,4,R,전통시장,2130315,1089,555,534
2021,4,R,전통시장,2130314,3876,1922,1954
2021,4,R,전통시장,2130313,4989,2379,2610
2021,4,R,전통시장,2130312,913,446,467
2021,4,R,전통시장,2130311,2340,1157,1183
2021,4,R,전통시장,2130310,112,63,49
2021,4,R,전통시장,2130308,6,3,3
2021,4,R,전통시장,2130307,37,22,15
2021,4,R,전통시장,2130306,408,199,209
2021,4,R,전통시장,2130305,84,38,46
2021,4,R,전통시장,2130304,2,1,1
2021,4,R,전통시장,2130303,1142,546,596
2021,4,R,전통시장,2130302,272,117,155
2021,4,R,전통시장,2130301,110,58,52
2021,4,R,전통시장,2130299,2,1,1
2021,4,R,전통시장,2130296,197,93,104
2021,4,R,전통시장,2130295,1370,685,685
2021,4,R,전통시장,2130294,588,280,308
2021,4,R,전통시장,2130293,421,212,209
2021,4,R,전통시장,2130292,11,4,7
2021,4,R,전통시장,2130291,168,83,85
2021,4,R,전통시장,2130290,2084,929,1155
2021,4,R,전통시장,2130288,19,7,12
2021,4,R,전통시장,2130287,160,99,61
2021,4,R,전통시장,2130286,51,25,26
2021,4,R,전통시장,2130285,865,400,465
2021,4,R,전통시장,2130284,13,10,3
2021,4,R,전통시장,2130283,439,254,185
2021,4,R,전통시장,2130282,336,165,171
2021,4,R,전통시장,2130281,83,37,46
2021,4,R,전통시장,2130280,5,3,2
2021,4,R,전통시장,2130279,2047,1009,1038
2021,4,R,전통시장,2130278,655,307,348
2021,4,R,전통시장,2130277,1363,701,662
2021,4,R,전통시장,2130276,68,43,25
2021,4,R,전통시장,2130275,564,288,276
2021,4,R,전통시장,2130274,774,374,400
2021,4,R,전통시장,2130273,721,365,356
2021,4,R,전통시장,2130272,10,7,3
2021,4,R,전통시장,2130271,550,241,309
2021,4,R,전통시장,2130270,72,32,40
2021,4,R,전통시장,2130269,97,42,55
2021,4,R,전통시장,2130268,1587,765,822
2021,4,R,전통시장,2130267,280,157,123
2021,4,R,전통시장,2130266,493,230,263
2021,4,R,전통시장,2130265,144,84,60
2021,4,R,전통시장,2130264,690,336,354
2021,4,R,전통시장,2130263,8,5,3
2021,4,R,전통시장,2130262,817,396,421
2021,4,R,전통시장,2130261,1689,777,912
2021,4,R,전통시장,2130260,505,245,260
2021,4,R,전통시장,2130258,101,47,54
2021,4,R,전통시장,2130257,591,339,252
2021,4,R,전통시장,2130256,46,22,24
2021,4,R,전통시장,2130255,1053,661,392
2021,4,R,전통시장,2130254,2,2,0
