기준_년월_코드,기준_분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수
2021,4,U,1001496,강남 마이스 관광특구,15904,8904,7000
2021,4,U,1001495,잠실 관광특구,24375,14199,10176
2021,4,U,1001494,종로?청계 관광특구,32935,17150,15785
2021,4,U,1001493,동대문패션타운 관광특구,6054,2958,3096
2021,4,U,1001492,명동 남대문 북창동 다동 무교동 관광특구,104830,53674,51156
2021,4,U,1001491,이태원 관광특구,5839,3064,2775
2021,4,R,2130326,고덕 골목형상점가,935,850,85
2021,4,R,2130325,명일전통시장,89,30,59
2021,4,R,2130324,길동복조리시장,154,85,69
2021,4,R,2130323,둔촌역전통시장,171,86,85
2021,4,R,2130322,고분다리전통시장,8,5,3
2021,4,R,2130321,장신구 특화거리 상점가,433,269,164
2021,4,R,2130320,암사종합시장,173,97,76
2021,4,R,2130319,성내전통시장,34,21,13
2021,4,R,2130318,로데오거리상점가,266,132,134
2021,4,R,2130317,마천중앙시장,107,77,30
2021,4,R,2130316,마천시장,18,9,9
2021,4,R,2130315,문정동 로데오거리 상점가(문정동 로데오거리),1372,808,564
2021,4,R,2130314,풍납시장,202,99,103
2021,4,R,2130313,방이시장,3469,1526,1943
2021,4,R,2130312,석촌시장,619,270,349
2021,4,R,2130311,새마을시장,377,246,131
2021,4,R,2130310,강남개포시장,298,173,125
2021,4,R,2130308,청담삼익시장,48,30,18
2021,4,R,2130307,도곡시장,57,25,32
2021,4,R,2130306,강남언주로,235,151,84
2021,4,R,2130305,논현종합시장,85,43,42
2021,4,R,2130304,신사상가,138,79,59
2021,4,R,2130303,영동전통시장,242,95,147
2021,4,R,2130302,강남시장(강남구 강남시장),58,33,25
2021,4,R,2130301,양재시장,35,22,13
2021,4,R,2130299,엔터식스 강남점,1850,1551,299
2021,4,R,2130298,강남터미널지하도상점가2구역,2,1,1
2021,4,R,2130296,남부종합시장,85,63,22
2021,4,R,2130295,인헌시장(원당종합시장),122,48,74
2021,4,R,2130294,관악중부시장,102,40,62
2021,4,R,2130293,봉천중앙시장,154,42,112
2021,4,R,2130290,영림시장,417,183,234
2021,4,R,2130289,봉일시장,36,20,16
2021,4,R,2130288,신림현대종합상가,2,0,2
2021,4,R,2130285,서원동상점가,615,316,299
2021,4,R,2130284,관악종합시장(신원시장),17,10,7
2021,4,R,2130283,신원시장,25,11,14
2021,4,R,2130282,난곡 골목형상점가,20,8,12
2021,4,R,2130281,우림시장,1,0,1
2021,4,R,2130280,신림종합시장,8,7,1
2021,4,R,2130279,관악신사시장,120,63,57
2021,4,R,2130278,미성동 도깨비시장 골목형상점가,75,16,59
2021,4,R,2130277,조원동 펭귄시장(신림중앙시장),98,56,42
2021,4,R,2130276,신림중앙시장(조원동 펭귄시장),43,27,16
2021,4,R,2130275,강남골목시장,168,124,44
2021,4,R,2130274,사당1동먹자골목상점가(사당1동먹자골목),389,218,171
2021,4,R,2130273,남성사계시장(남성시장),141,63,78
2021,4,R,2130272,사당시장,45,20,25
2021,4,R,2130271,남성역골목시장,467,268,199
2021,4,R,2130270,흑석시장,4,3,1
2021,4,R,2130268,상도전통시장,239,104,135
2021,4,R,2130267,본동인정시장(기능상실),59,41,18
2021,4,R,2130266,만양로상점가,129,75,54
2021,4,R,2130265,노량진중앙시장,115,82,33
2021,4,R,2130264,상도약수골목형상점가,65,35,30
2021,4,R,2130263,신노량진시장(기능상실),11,3,8
2021,4,R,2130262,상도도깨비 골목형상점가,18,8,10
2021,4,R,2130261,성대전통시장(성대시장),211,104,107
2021,4,R,2130260,신대방1동골목상권,70,31,39
2021,4,R,2130259,대신시장,12,9,3
2021,4,R,2130257,영등포시장기계공구상가,158,116,42
2021,4,R,2130256,신동시장,2,2,0
2021,4,R,2130255,영등포전통시장,45,29,16
2021,4,R,2130253,영신상가(제일상가),9,7,2
2021,4,R,2130250,삼구시장(로타리상가),1,0,1
2021,4,R,2130249,동남상가,10,8,2
2021,4,R,2130248,영등포역지하도상점가,12,5,7
2021,4,R,2130247,우리시장,21,16,5
2021,4,R,2130246,영등포청과시장(조광시장),237,126,111
2021,4,R,2130245,영일시장,675,567,108
2021,4,R,2130244,대림중앙시장,95,39,56
2021,4,R,2130243,도림시장,6,4,2
2021,4,R,2130242,대림중앙 골목형상점가,68,21,47
2021,4,R,2130241,선유도역 골목형상점가,500,253,247
2021,4,R,2130240,영등포유통상가,1183,753,430
2021,4,R,2130238,은행나무시장,113,71,42
2021,4,R,2130237,박미시장(기능상실),39,26,13
2021,4,R,2130236,비단길현대시장(현대시장),139,42,97
2021,4,R,2130235,대명여울빛거리시장(대명시장),298,80,218
2021,4,R,2130234,푸른터시장(기능상실),3,2,1
2021,4,R,2130233,남문시장,76,47,29
2021,4,R,2130232,독산동 맛나는거리상점가(독산동 맛나는거리),33,24,9
2021,4,R,2130231,독산동 우시장,611,476,135
2021,4,R,2130229,남구로시장,249,139,110
2021,4,R,2130228,구로시장,10,5,5
2021,4,R,2130227,고척골목시장상점가(그라운드 고척),97,68,29
2021,4,R,2130226,고척프라자,2,2,0
2021,4,R,2130225,개봉중앙시장,147,59,88
2021,4,R,2130224,개봉프라자(고척근린시장),5,4,1
2021,4,R,2130223,고척근린시장,42,12,30
2021,4,R,2130222,오류시장,132,21,111
2021,4,R,2130221,남부골목시장(남부화곡시장 남부시장),188,69,119
2021,4,R,2130219,까치산시장,124,37,87
2021,4,R,2130218,신월중앙시장,118,53,65
2021,4,R,2130217,화곡본동시장,36,16,20
2021,4,R,2130216,화곡중앙시장,75,32,43
2021,4,R,2130215,대원종합시장,9,7,2
2021,4,R,2130214,송화벽화시장(송화골목시장),119,44,75
2021,4,R,2130213,방신전통시장,112,77,35
2021,4,R,2130212,공항시장,8,6,2
2021,4,R,2130211,신정2동 골목시장(오목교중앙시장),51,18,33
2021,4,R,2130210,목2동시장,432,251,181
2021,4,R,2130209,목사랑시장(목4동시장),111,61,50
2021,4,R,2130208,목동깨비시장(목3동시장),148,67,81
2021,4,R,2130207,신정1동 골목시장(신정제일시장),38,21,17
2021,4,R,2130206,신정3동 골목시장,20,6,14
2021,4,R,2130205,신곡종합시장(신월6동 골목시장),141,103,38
2021,4,R,2130204,경창시장,100,50,50
2021,4,R,2130203,서서울 골목형상점가,34,7,27
2021,4,R,2130202,신영시장,40,13,27
2021,4,R,2130201,월정로시장,27,17,10
2021,4,R,2130200,신월7동 골목시장(약수시장 우성상가),27,18,9
2021,4,R,2130199,신월3동 골목시장,18,8,10
2021,4,R,2130198,아현시장,203,45,158
2021,4,R,2130197,마포시장,15,5,10
2021,4,R,2130196,공덕시장,3948,2001,1947
2021,4,R,2130195,도화동 상점가,1055,510,545
2021,4,R,2130194,용강동 상점가,875,502,373
2021,4,R,2130193,신수시장,34,19,15
2021,4,R,2130192,동진시장,10,6,4
2021,4,R,2130191,홍대 걷고싶은 거리,367,225,142
2021,4,R,2130190,홍대소상공인상점가,150,77,73
2021,4,R,2130189,서교시장,24,10,14
2021,4,R,2130187,영진시장,29,14,15
2021,4,R,2130186,망원시장,178,84,94
2021,4,R,2130185,망원월드컵시장,190,123,67
2021,4,R,2130184,마포농수산물시장,77,40,37
2021,4,R,2130183,상암동상점가,816,607,209
2021,4,R,2130182,영천시장,78,35,43
2021,4,R,2130181,아현가구거리상점가,59,30,29
2021,4,R,2130180,포방터시장,59,34,25
2021,4,R,2130179,이화여대 357길 상점가,147,65,82
2021,4,R,2130178,이대 앞 스타트업 상점가,32,7,25
2021,4,R,2130177,인왕시장(홍제골목형상점가),44,7,37
2021,4,R,2130176,유진상가,38,23,15
2021,4,R,2130175,신촌 상인회(신촌상점가),13,5,8
2021,4,R,2130173,백련시장,5,3,2
2021,4,R,2130172,모래내시장(서중시장),41,13,28
2021,4,R,2130171,불광먹자골목 골목형상점가,155,54,101
2021,4,R,2130170,제일시장,58,26,32
2021,4,R,2130169,대조시장,67,31,36
2021,4,R,2130168,연서시장,242,157,85
2021,4,R,2130167,연신내상점가(연빛거리),636,239,397
2021,4,R,2130166,응암시장(신응암시장),17,10,7
2021,4,R,2130165,대림골목시장(대림시장 양지시장),214,34,180
2021,4,R,2130164,역촌중앙시장,9,3,6
2021,4,R,2130163,응암오거리상점가,182,49,133
2021,4,R,2130162,증산골목시장,7,3,4
2021,4,R,2130161,증산종합시장,8,5,3
2021,4,R,2130160,수일시장,7,2,5
2021,4,R,2130159,공릉동 도깨비시장,101,47,54
2021,4,R,2130157,상계중앙시장,74,40,34
2021,4,R,2130155,시영B상가(중계 그린아파트 B 상가),12,8,4
2021,4,R,2130153,창동역상점가,229,138,91
2021,4,R,2130152,오!도봉거리 상점가,61,34,27
2021,4,R,2130151,신도봉시장,5,5,0
2021,4,R,2130150,창동골목시장,84,47,37
2021,4,R,2130149,창동신창시장,104,40,64
2021,4,R,2130148,방학동도깨비시장,60,33,27
2021,4,R,2130147,쌍문역동측상점가,69,32,37
2021,4,R,2130146,쌍문시장(쌍문역골목시장),263,124,139
2021,4,R,2130145,쌍문역둘리상점가,244,202,42
2021,4,R,2130144,백운시장,38,17,21
2021,4,R,2130143,방천골목시장,65,36,29
2021,4,R,2130142,강북북부시장,7,5,2
2021,4,R,2130141,강북북부골목시장,43,20,23
2021,4,R,2130140,숭인시장,62,27,35
2021,4,R,2130139,강북종합전통시장(강북종합골목시장),166,114,52
2021,4,R,2130138,수유프라자,142,24,118
2021,4,R,2130137,수유전통시장(수유시장 수유골목시장),89,31,58
2021,4,R,2130136,수유재래시장,29,11,18
2021,4,R,2130135,수유중앙골목시장(수유중앙시장),24,12,12
2021,4,R,2130134,솔샘시장(미아67동골목시장),73,30,43
2021,4,R,2130133,우이골목시장(우이시장),69,61,8
2021,4,R,2130132,삼양골목시장(삼양시장),57,19,38
2021,4,R,2130131,동북프라자,121,49,72
2021,4,R,2130130,수유북부골목시장,20,14,6
2021,4,R,2130129,장미원골목시장,911,571,340
2021,4,R,2130128,돌곶이시장(석관황금시장),191,157,34
2021,4,R,2130126,새석관시장,3,1,2
2021,4,R,2130125,장위전통시장,40,20,20
2021,4,R,2130123,꿈의숲 장곡 골목형상점가,6,5,1
2021,4,R,2130122,밤나무골시장,17,5,12
2021,4,R,2130121,길음시장,91,19,72
2021,4,R,2130120,돈암시장(돈암제일시장),99,23,76
2021,4,R,2130119,정릉아리랑시장,15,4,11
2021,4,R,2130118,정릉골 골목형상점가,67,30,37
2021,4,R,2130117,정릉시장,119,62,57
2021,4,R,2130116,동성타워프라자,31,22,9
2021,4,R,2130115,우림골목시장,307,106,201
2021,4,R,2130114,유영시장,31,20,11
2021,4,R,2130113,신아타운,148,27,121
2021,4,R,2130112,사가정시장,86,28,58
2021,4,R,2130111,동원전통종합시장(동원시장 동원전통시장 상점가),224,109,115
